party,canton,year,n,share
SVP,SO,2015,23,0.30434782608695654
SVP,SO,2019,24,0.20833333333333334
BDP,SG,2011,11,0.18181818181818182
BDP,SG,2015,18,0.2777777777777778
BDP,SG,2019,5,0
CVP,SG,1971,12,0.08333333333333333
CVP,SG,1975,12,0.08333333333333333
CVP,SG,1979,12,0.08333333333333333
CVP,SG,1983,12,0.08333333333333333
CVP,SG,1987,24,0.20833333333333334
CVP,SG,1991,32,0.3125
CVP,SG,1995,36,0.3888888888888889
CVP,SG,1999,24,0.2916666666666667
CVP,SG,2003,23,0.21739130434782608
CVP,SG,2007,24,0.3333333333333333
CVP,SG,2011,36,0.3055555555555556
CVP,SG,2015,24,0.20833333333333334
CVP,SG,2019,48,0.25
FDP,SG,1971,24,0.08333333333333333
FDP,SG,1975,12,0.08333333333333333
FDP,SG,1979,12,0.16666666666666666
FDP,SG,1983,12,0.16666666666666666
FDP,SG,1987,12,0.25
FDP,SG,1991,12,0.25
FDP,SG,1995,12,0.25
FDP,SG,1999,24,0.20833333333333334
FDP,SG,2003,18,0.16666666666666666
FDP,SG,2007,48,0.25
FDP,SG,2011,24,0.25
FDP,SG,2015,29,0.2413793103448276
FDP,SG,2019,42,0.47619047619047616
GLP,SG,2007,12,0.4166666666666667
GLP,SG,2011,24,0.375
GLP,SG,2015,24,0.375
GLP,SG,2019,24,0.3333333333333333
GPS,SG,1991,24,0.5
GPS,SG,1995,24,0.5
GPS,SG,1999,12,0.5
GPS,SG,2003,36,0.4444444444444444
GPS,SG,2007,36,0.5
GPS,SG,2011,24,0.5
GPS,SG,2015,24,0.4583333333333333
GPS,SG,2019,36,0.5277777777777778
SP,SG,1971,12,0.16666666666666666
SP,SG,1975,12,0.16666666666666666
SP,SG,1979,12,0.16666666666666666
SP,SG,1983,12,0.25
SP,SG,1987,12,0.3333333333333333
SP,SG,1991,12,0.4166666666666667
SP,SG,1995,24,0.5
SP,SG,1999,42,0.42857142857142855
SP,SG,2003,36,0.4444444444444444
SP,SG,2007,48,0.4166666666666667
SP,SG,2011,23,0.4782608695652174
SP,SG,2015,23,0.5217391304347826
SP,SG,2019,22,0.45454545454545453
SVP,SG,1983,6,0.16666666666666666
SVP,SG,1995,12,0.08333333333333333
SVP,SG,1999,12,0.25
SVP,SG,2003,12,0.3333333333333333
SVP,SG,2007,12,0.08333333333333333
SVP,SG,2011,12,0.16666666666666666
SVP,SG,2015,12,0.08333333333333333
SVP,SG,2019,48,0.14583333333333334
CVP,TI,1971,8,0.25
CVP,TI,1975,8,0
CVP,TI,1979,8,0.125
CVP,TI,1983,8,0.125
CVP,TI,1987,8,0
CVP,TI,1991,8,0.125
CVP,TI,1995,8,0.25
CVP,TI,1999,8,0.25
CVP,TI,2003,8,0.25
CVP,TI,2007,16,0.3125
CVP,TI,2011,8,0.125
CVP,TI,2015,29,0.20689655172413793
CVP,TI,2019,28,0.10714285714285714
FDP,TI,1971,8,0.125
FDP,TI,1975,8,0.125
FDP,TI,1979,8,0.125
FDP,TI,1983,8,0
FDP,TI,1987,8,0
FDP,TI,1991,8,0.125
FDP,TI,1995,8,0.125
FDP,TI,1999,8,0.25
FDP,TI,2003,8,0.375
FDP,TI,2007,14,0.14285714285714285
FDP,TI,2011,8,0.125
FDP,TI,2015,8,0.125
FDP,TI,2019,8,0.375
GLP,TI,2015,8,0.375
GLP,TI,2019,8,0.375
GPS,TI,1987,4,0.25
GPS,TI,1991,4,0.5
GPS,TI,1995,8,0.125
GPS,TI,1999,8,0.125
GPS,TI,2003,8,0.5
GPS,TI,2007,8,0.375
GPS,TI,2011,8,0.5
GPS,TI,2015,8,0.5
GPS,TI,2019,16,0.875
SP,TI,1971,7,0.14285714285714285
SP,TI,1975,7,0.14285714285714285
SP,TI,1979,8,0.125
SP,TI,1983,8,0.375
SP,TI,1987,8,0.25
SP,TI,1991,8,0.25
SP,TI,1995,16,0.1875
SP,TI,1999,8,0.25
SP,TI,2003,8,0.5
SP,TI,2007,8,0.5
SP,TI,2011,8,0.5
SP,TI,2015,17,0.47058823529411764
SP,TI,2019,20,0.5
SVP,TI,1971,8,0
SVP,TI,1979,8,0
SVP,TI,1983,8,0
SVP,TI,1987,8,0.125
SVP,TI,1991,4,0
SVP,TI,1995,4,0
SVP,TI,1999,8,0
SVP,TI,2003,8,0
SVP,TI,2007,8,0.125
SVP,TI,2011,8,0.125
SVP,TI,2015,16,0.25
SVP,TI,2019,24,0.125
BDP,TG,2011,6,0.16666666666666666
BDP,TG,2015,9,0.1111111111111111
BDP,TG,2019,15,0.13333333333333333
CVP,TG,1971,12,0.16666666666666666
CVP,TG,1975,6,0
CVP,TG,1979,6,0
CVP,TG,1983,6,0.16666666666666666
CVP,TG,1987,6,0.16666666666666666
CVP,TG,1991,12,0.3333333333333333
CVP,TG,1995,6,0.3333333333333333
CVP,TG,1999,6,0.3333333333333333
CVP,TG,2003,6,0.5
CVP,TG,2007,6,0.5
CVP,TG,2011,12,0.4166666666666667
CVP,TG,2015,12,0.5
CVP,TG,2019,18,0.5555555555555556
FDP,TG,1971,6,0.16666666666666666
FDP,TG,1975,6,0.16666666666666666
FDP,TG,1979,6,0.16666666666666666
FDP,TG,1983,6,0.16666666666666666
FDP,TG,1987,6,0.16666666666666666
FDP,TG,1991,6,0.3333333333333333
FDP,TG,1995,6,0.3333333333333333
FDP,TG,1999,12,0.3333333333333333
FDP,TG,2003,12,0.4166666666666667
FDP,TG,2007,12,0.3333333333333333
FDP,TG,2011,12,0.3333333333333333
FDP,TG,2015,18,0.4444444444444444
FDP,TG,2019,18,0.5
GLP,TG,2011,12,0.16666666666666666
GLP,TG,2015,18,0.2222222222222222
GLP,TG,2019,18,0.4444444444444444
GPS,TG,1983,6,0.3333333333333333
GPS,TG,1987,6,0.5
GPS,TG,1991,6,0.5
GPS,TG,1995,12,0.5
GPS,TG,1999,6,0.5
GPS,TG,2003,6,0.5
GPS,TG,2007,12,0.5
GPS,TG,2011,12,0.5833333333333334
GPS,TG,2015,18,0.4444444444444444
GPS,TG,2019,18,0.5
SP,TG,1971,6,0.16666666666666666
SP,TG,1975,6,0
SP,TG,1979,6,0.16666666666666666
SP,TG,1983,6,0.16666666666666666
SP,TG,1987,6,0.3333333333333333
SP,TG,1991,6,0.3333333333333333
SP,TG,1995,18,0.5555555555555556
SP,TG,1999,18,0.5
SP,TG,2003,6,0.6666666666666666
SP,TG,2007,6,0.6666666666666666
SP,TG,2011,12,0.4166666666666667
SP,TG,2015,12,0.4166666666666667
SP,TG,2019,18,0.6111111111111112
SVP,TG,1971,6,0.16666666666666666
SVP,TG,1975,6,0.16666666666666666
SVP,TG,1979,6,0.16666666666666666
SVP,TG,1983,6,0.16666666666666666
SVP,TG,1987,6,0.16666666666666666
SVP,TG,1991,6,0.16666666666666666
SVP,TG,1995,12,0.4166666666666667
SVP,TG,1999,12,0.3333333333333333
SVP,TG,2003,12,0.25
SVP,TG,2007,12,0.3333333333333333
SVP,TG,2011,12,0.25
SVP,TG,2015,12,0.25
SVP,TG,2019,12,0.25
CVP,UR,2019,1,0
FDP,UR,2019,1,0
SP,UR,2019,1,0
SVP,UR,2019,1,0
BDP,VD,2011,9,0.1111111111111111
BDP,VD,2015,18,0.3333333333333333
BDP,VD,2019,12,0.25
CVP,VD,1971,16,0.125
CVP,VD,1975,16,0.1875
CVP,VD,1979,16,0.125
CVP,VD,1983,17,0.17647058823529413
CVP,VD,1987,17,0.23529411764705882
CVP,VD,1991,17,0.17647058823529413
CVP,VD,1995,34,0.5
CVP,VD,1999,34,0.4411764705882353
CVP,VD,2003,18,0.2777777777777778
CVP,VD,2007,36,0.2777777777777778
CVP,VD,2011,30,0.26666666666666666
CVP,VD,2015,38,0.3684210526315789
CVP,VD,2019,29,0.20689655172413793
FDP,VD,1971,32,0.1875
FDP,VD,1975,32,0.15625
FDP,VD,1979,32,0.21875
FDP,VD,1983,34,0.20588235294117646
FDP,VD,1987,34,0.17647058823529413
FDP,VD,1991,34,0.20588235294117646
FDP,VD,1995,34,0.2647058823529412
FDP,VD,1999,45,0.24444444444444444
FDP,VD,2003,53,0.18867924528301888
FDP,VD,2007,43,0.2558139534883721
FDP,VD,2011,72,0.2361111111111111
FDP,VD,2015,54,0.2962962962962963
FDP,VD,2019,57,0.38596491228070173
GLP,VD,2011,18,0.3888888888888889
GLP,VD,2015,18,0.3888888888888889
GLP,VD,2019,38,0.42105263157894735
GPS,VD,1975,8,0.25
GPS,VD,1979,16,0.375
GPS,VD,1983,17,0.47058823529411764
GPS,VD,1987,17,0.47058823529411764
GPS,VD,1991,17,0.4117647058823529
GPS,VD,1995,17,0.5882352941176471
GPS,VD,1999,34,0.5
GPS,VD,2003,18,0.5
GPS,VD,2007,17,0.5294117647058824
GPS,VD,2011,36,0.5277777777777778
GPS,VD,2015,36,0.5277777777777778
GPS,VD,2019,38,0.5
SP,VD,1971,16,0.3125
SP,VD,1975,16,0.1875
SP,VD,1979,16,0.1875
SP,VD,1983,17,0.35294117647058826
SP,VD,1987,17,0.23529411764705882
SP,VD,1991,17,0.29411764705882354
SP,VD,1995,17,0.35294117647058826
SP,VD,1999,34,0.5
SP,VD,2003,18,0.5
SP,VD,2007,18,0.5
SP,VD,2011,33,0.48484848484848486
SP,VD,2015,36,0.5
SP,VD,2019,38,0.5263157894736842
SVP,VD,1971,16,0.125
SVP,VD,1975,16,0.1875
SVP,VD,1979,16,0.25
SVP,VD,1983,17,0.11764705882352941
SVP,VD,1987,17,0.23529411764705882
SVP,VD,1991,17,0.23529411764705882
SVP,VD,1995,17,0.23529411764705882
SVP,VD,1999,17,0.29411764705882354
SVP,VD,2003,18,0.16666666666666666
SVP,VD,2007,18,0.1111111111111111
SVP,VD,2011,36,0.1388888888888889
SVP,VD,2015,36,0.19444444444444445
SVP,VD,2019,38,0.21052631578947367
BDP,VS,2011,6,0.3333333333333333
CVP,VS,1971,16,0.0625
CVP,VS,1975,17,0.23529411764705882
CVP,VS,1979,19,0
CVP,VS,1983,17,0.058823529411764705
CVP,VS,1987,16,0.0625
CVP,VS,1991,20,0.15
CVP,VS,1995,23,0.2608695652173913
CVP,VS,1999,30,0.26666666666666666
CVP,VS,2003,29,0.2413793103448276
CVP,VS,2007,28,0.2857142857142857
CVP,VS,2011,31,0.16129032258064516
CVP,VS,2015,37,0.16216216216216217
CVP,VS,2019,33,0.30303030303030304
FDP,VS,1971,5,0.2
FDP,VS,1975,5,0
FDP,VS,1979,12,0.08333333333333333
FDP,VS,1983,11,0.09090909090909091
FDP,VS,1987,6,0.16666666666666666
FDP,VS,1991,12,0.25
FDP,VS,1995,16,0.25
FDP,VS,1999,16,0.3125
FDP,VS,2003,12,0.3333333333333333
FDP,VS,2007,25,0.2
FDP,VS,2011,29,0.3103448275862069
FDP,VS,2015,35,0.2571428571428571
FDP,VS,2019,41,0.4146341463414634
GLP,VS,2019,6,0.3333333333333333
GPS,VS,1987,2,0.5
GPS,VS,1991,2,0.5
GPS,VS,1995,1,0
GPS,VS,1999,3,0
GPS,VS,2003,3,0.3333333333333333
GPS,VS,2007,11,0.36363636363636365
GPS,VS,2011,26,0.3076923076923077
GPS,VS,2015,18,0.4444444444444444
GPS,VS,2019,32,0.625
SP,VS,1971,5,0.2
SP,VS,1975,5,0.2
SP,VS,1979,6,0.16666666666666666
SP,VS,1983,6,0.16666666666666666
SP,VS,1987,6,0.3333333333333333
SP,VS,1991,6,0.5
SP,VS,1995,12,0.5
SP,VS,1999,12,0.5
SP,VS,2003,17,0.23529411764705882
SP,VS,2007,22,0.5454545454545454
SP,VS,2011,20,0.35
SP,VS,2015,35,0.34285714285714286
SP,VS,2019,42,0.5476190476190477
SVP,VS,1999,11,0.18181818181818182
SVP,VS,2003,30,0.3
SVP,VS,2007,27,0.18518518518518517
SVP,VS,2011,28,0.17857142857142858
SVP,VS,2015,39,0.1282051282051282
SVP,VS,2019,52,0.15384615384615385
CVP,ZG,1971,1,0
CVP,ZG,1975,1,0
CVP,ZG,1979,2,0
CVP,ZG,1983,2,0
CVP,ZG,1987,1,0
CVP,ZG,1991,2,0
CVP,ZG,1995,3,0.3333333333333333
CVP,ZG,1999,3,0.3333333333333333
CVP,ZG,2003,6,0
CVP,ZG,2007,6,0.3333333333333333
CVP,ZG,2011,6,0.5
CVP,ZG,2015,6,0.5
CVP,ZG,2019,12,0.6666666666666666
FDP,ZG,1971,1,0
FDP,ZG,1975,1,0
FDP,ZG,1979,2,0
FDP,ZG,1983,1,0
FDP,ZG,1987,1,0
FDP,ZG,1991,2,0
FDP,ZG,1995,3,0.3333333333333333
FDP,ZG,1999,3,0.3333333333333333
FDP,ZG,2003,6,0.3333333333333333
FDP,ZG,2007,6,0.3333333333333333
FDP,ZG,2011,6,0.3333333333333333
FDP,ZG,2015,6,0.3333333333333333
FDP,ZG,2019,9,0.4444444444444444
GLP,ZG,2011,6,0.16666666666666666
GLP,ZG,2015,3,0.3333333333333333
GLP,ZG,2019,6,0.5
GPS,ZG,2007,6,0.5
GPS,ZG,2011,6,0.3333333333333333
GPS,ZG,2015,9,0.6666666666666666
GPS,ZG,2019,14,0.7142857142857143
SP,ZG,1975,1,0
SP,ZG,1979,1,0
SP,ZG,1983,2,0
SP,ZG,1987,2,0.5
SP,ZG,1991,1,0
SP,ZG,1995,3,0.3333333333333333
SP,ZG,1999,3,0.3333333333333333
SP,ZG,2003,3,0.3333333333333333
SP,ZG,2007,6,0.6666666666666666
SP,ZG,2011,2,1
SP,ZG,2015,15,0.5333333333333333
SP,ZG,2019,21,0.42857142857142855
SVP,ZG,1995,3,0
SVP,ZG,1999,3,0.3333333333333333
SVP,ZG,2003,6,0.16666666666666666
SVP,ZG,2007,9,0.3333333333333333
SVP,ZG,2011,6,0
SVP,ZG,2015,9,0
SVP,ZG,2019,9,0.2222222222222222
BDP,ZH,2011,34,0.2647058823529412
BDP,ZH,2015,35,0.34285714285714286
BDP,ZH,2019,35,0.42857142857142855
CVP,ZH,1971,35,0.14285714285714285
CVP,ZH,1975,70,0.12857142857142856
CVP,ZH,1979,70,0.08571428571428572
CVP,ZH,1983,35,0.17142857142857143
CVP,ZH,1987,35,0.2571428571428571
CVP,ZH,1991,57,0.3157894736842105
CVP,ZH,1995,68,0.3235294117647059
CVP,ZH,1999,68,0.36764705882352944
CVP,ZH,2003,68,0.35294117647058826
CVP,ZH,2007,58,0.4482758620689655
CVP,ZH,2011,68,0.4264705882352941
CVP,ZH,2015,70,0.35714285714285715
CVP,ZH,2019,140,0.5857142857142857
FDP,ZH,1971,70,0.17142857142857143
FDP,ZH,1975,70,0.14285714285714285
FDP,ZH,1979,70,0.2
FDP,ZH,1983,70,0.2
FDP,ZH,1987,105,0.21904761904761905
FDP,ZH,1991,70,0.2857142857142857
FDP,ZH,1995,98,0.29591836734693877
FDP,ZH,1999,90,0.23333333333333334
FDP,ZH,2003,102,0.3333333333333333
FDP,ZH,2007,72,0.2638888888888889
FDP,ZH,2011,68,0.2647058823529412
FDP,ZH,2015,70,0.34285714285714286
FDP,ZH,2019,70,0.3
GLP,ZH,2007,34,0.47058823529411764
GLP,ZH,2011,64,0.328125
GLP,ZH,2015,105,0.29523809523809524
GLP,ZH,2019,140,0.42142857142857143
GPS,ZH,1979,12,0.08333333333333333
GPS,ZH,1983,35,0.2857142857142857
GPS,ZH,1987,70,0.4714285714285714
GPS,ZH,1991,70,0.5142857142857142
GPS,ZH,1995,65,0.47692307692307695
GPS,ZH,1999,34,0.5
GPS,ZH,2003,102,0.4411764705882353
GPS,ZH,2007,152,0.46710526315789475
GPS,ZH,2011,68,0.4411764705882353
GPS,ZH,2015,86,0.5116279069767442
GPS,ZH,2019,89,0.5168539325842697
SP,ZH,1971,70,0.12857142857142856
SP,ZH,1975,70,0.2
SP,ZH,1979,70,0.24285714285714285
SP,ZH,1983,70,0.24285714285714285
SP,ZH,1987,70,0.38571428571428573
SP,ZH,1991,70,0.5
SP,ZH,1995,34,0.5588235294117647
SP,ZH,1999,102,0.4803921568627451
SP,ZH,2003,101,0.5445544554455446
SP,ZH,2007,66,0.5151515151515151
SP,ZH,2011,75,0.48
SP,ZH,2015,69,0.4927536231884058
SP,ZH,2019,69,0.4782608695652174
SVP,ZH,1971,70,0.11428571428571428
SVP,ZH,1975,35,0.08571428571428572
SVP,ZH,1979,70,0.18571428571428572
SVP,ZH,1983,70,0.1
SVP,ZH,1987,82,0.15853658536585366
SVP,ZH,1991,105,0.1619047619047619
SVP,ZH,1995,102,0.19607843137254902
SVP,ZH,1999,102,0.19607843137254902
SVP,ZH,2003,112,0.16964285714285715
SVP,ZH,2007,108,0.21296296296296297
SVP,ZH,2011,85,0.23529411764705882
SVP,ZH,2015,66,0.21212121212121213
SVP,ZH,2019,103,0.20388349514563106
