year,category,party,n,share
2011,running,SP,433,0.4665127020785219
2011,running,SVP,390,0.18461538461538463
2015,elected,BDP,7,0.14285714285714285
2015,elected,CVP,27,0.3333333333333333
2015,elected,FDP,33,0.21212121212121213
2015,elected,GLP,7,0.42857142857142855
2015,elected,GPS,11,0.45454545454545453
2015,elected,SP,43,0.5813953488372093
2015,elected,SVP,65,0.16923076923076924
2015,running,BDP,227,0.32599118942731276
2015,running,CVP,442,0.3416289592760181
2015,running,FDP,463,0.30669546436285094
2015,running,GLP,362,0.3287292817679558
2015,running,GPS,401,0.5062344139650873
2015,running,SP,482,0.46887966804979253
2015,running,SVP,433,0.18937644341801385
2019,running,BDP,208,0.3125
2019,running,CVP,694,0.4020172910662824
2019,running,FDP,525,0.37333333333333335
2019,running,GLP,477,0.40670859538784065
2019,running,GPS,458,0.5611353711790393
2019,running,SP,605,0.5074380165289256
2019,running,SVP,556,0.22302158273381295
