ID_Candidate,firstname,lastname,gender,city,district,group
46974,Michael,Schär,m,Langenthal,Bern,FDP/PLR
46975,Madeleine,Deckert,f,Evilard,Bern,FDP/PLR
46976,Marianna,Lehmann-Gygax,f,Wilderswil,Bern,FDP/PLR
46977,Markus,Spielmann,m,Starrkirch-Wil,Solothurn,FDP/PLR
46978,Peter,Hodel,m,Schönenwerd,Solothurn,FDP/PLR
46979,Kathrin,Gabathuler,f,Salez,St. Gallen,FDP/PLR
46980,Laura,Bircher,f,Gümligen,Bern,FDP/PLR
46981,Luca,Urgese,m,Basel,Basel-Stadt,FDP/PLR
46982,Simone,Richner,f,Bern,Bern,FDP/PLR
46983,Maja,Riniker,f,Suhr,Aargau,FDP/PLR
46984,Adrian,Schoop,m,Turgi,Aargau,FDP/PLR
46985,Oskar,Seger,m,St. Gallen,St. Gallen,FDP/PLR
46986,Lukas,Pfisterer,m,Aarau,Aargau,FDP/PLR
