ID_Candidate,firstname,lastname,gender,city,district,group
47592,Jessica,Jaccoud,f,Rolle,Waadt,SP/PS
47593,Pierre-Yves,Maillard,m,Renens VD,Waadt,SP/PS
47594,Urs,Kälin,m,Altdorf,Uri,SP/PS
47595,Giuliana,Foken,f,Visp,Wallis,SP/PS
47596,Rainer,Oggier,m,Leuk,Wallis,SP/PS
47597,Paola,Riva Gapany,f,Savièse,Wallis,SP/PS
47598,Catherine,Logean,f,Saillon,Wallis,SP/PS
47599,Anne-Laure,Secco,f,Lens,Wallis,SP/PS
47600,Marco,Denoth,m,Zürich,Zürich,SP/PS
47601,Andreas,Jenni,m,Rheinau,Zürich,SP/PS
47602,Regula,Keller,f,Winterthur,Zürich,SP/PS
47603,Angelo,Barrile,m,Zürich,Zürich,SP/PS
47604,Priska,Seiler Graf,f,Kloten,Zürich,SP/PS
47605,Jacqueline,Badran,f,Zürich,Zürich,SP/PS
47606,Mattea,Meyer,f,Winterthur,Zürich,SP/PS
47607,Fabian,Molina,m,Zürich,Zürich,SP/PS
47608,Thomas,Hardegger,m,Rümlang,Zürich,SP/PS
47609,Brigitte,Crottaz,f,Epalinges,Waadt,SP/PS
47610,Philipp,Wilhelm,m,Davos,Graubünden,SP/PS
47611,Igor,Righini,m,Pollegio,Tessin,SP/PS
47612,Andreas,Marty,m,Einsiedeln,Schwyz,SP/PS
47613,Lewin,Lempert,m,Zürich,Zürich,SP/PS
47614,Beat,Jans,m,Basel,Basel-Stadt,SP/PS
47615,Arthur (Turi),Schallenberg,m,Bürglen,Thurgau,SP/PS
47616,Céline,Widmer,f,Zürich,Zürich,SP/PS
47617,Elias,Moussa,m,Fribourg,Freiburg,SP/PS
47618,Franziska,Preisig,f,Samedan,Graubünden,SP/PS
47619,Désirée,Jaun,f,Birsfelden,Basel-Landschaft,SP/PS
47620,Min Li,Marti,f,Zürich,Zürich,SP/PS
47621,Jean,Tschopp,m,Lausanne,Waadt,SP/PS
47622,Stéphane,Balet,m,Yverdon,Waadt,SP/PS
47623,Selim,Gfeller,m,Winterthur,Zürich,SP/PS
47624,Roger,Schmutz,m,Wettswil,Zürich,SP/PS
47625,Ruedi,Blumer,m,Gossau,St. Gallen,SP/PS
47627,Philipp,Hadorn,m,Gerlafingen,Solothurn,SP/PS
47628,Gilbert,Truffer,m,Visp,Wallis,SP/PS
47629,Arber,Bullakaj,m,Wil,St. Gallen,SP/PS
47630,Romain,de Sainte-Marie,m,Genève,Genf,SP/PS
47631,Martin,Naef,m,Zürich,Zürich,SP/PS
47632,Alex,Granato,m,Götighofen,Thurgau,SP/PS
47633,Nicole,Wyss,f,Oensingen,Solothurn,SP/PS
47634,Eva-Maria,Würth,f,Zürich,Zürich,SP/PS
47635,Nicolas,Rochat Fernandez,m,Le Sentier,Waadt,SP/PS
47636,Marina,Carobbio Guscetti,f,Lumino,Tessin,SP/PS
47637,Eva,Herzog,f,Basel,Basel-Stadt,SP/PS
47638,Nathalie,Déchanez,f,Villaraboud,Freiburg,SP/PS
47639,Edith,Graf-Litscher,f,Frauenfeld,Thurgau,SP/PS
47640,Yassin,Nour,m,Pully,Waadt,SP/PS
47641,Michèle,Dünki-Bättig,f,Glattfelden,Zürich,SP/PS
47642,Myriam,Romano-Malagrifa,f,Renens VD,Waadt,SP/PS
47643,Thomas,Wenger,m,Genève,Genf,SP/PS
47644,Cristina,Zanini Barzaghi,f,Carabbia,Tessin,SP/PS
